Variável,Valor
mono white,9
mono blue,7
mono black,17
mono red,13
mono green,15
azorios (White Blue),12
Boros (Red White),11
Dimir (Blue Black),17
Golgari (Black Green),16
Gruul (Red Green),6
Izzet (Blue Red),15
Orzhov (White Black),7
Rakdos (Black Red),19
Selesnya (White Green),10
Simic (Blue Green),11
Abzan (White Black Green),4
Bant (White Blue Green),8
Esper (White Blue Black),8
Grixis (Blue Black Red),16
Jeskai (Blue Red White),9
Jund (Black Red Green),8
Mardu (Red White Black),12
Naya (Red White Green),6
Sultai (Blue Black Green),9
Temur (Blue Red Green),5
Glint (White Blue Red Green),1
Dune (White Blue Black Green),5
Ruin (White Blue Black Red),1
Witch (Blue Black Red Green),0
Yore (White Red Black Green),0
Todas Cores,20
Colorless,3

Total de Inserções,300
