Variável,Valor
mono white,2
mono blue,1
mono black,0
mono red,1
mono green,0
azorios (White Blue),0
Boros (Red White),0
Dimir (Blue Black),0
Golgari (Black Green),0
Gruul (Red Green),0
Izzet (Blue Red),7
Orzhov (White Black),7
Rakdos (Black Red),9
Selesnya (White Green),4
Simic (Blue Green),4
Abzan (White Black Green),4
Bant (White Blue Green),2
Esper (White Blue Black),1
Grixis (Blue Black Red),1
Jeskai (Blue Red White),1
Jund (Black Red Green),1
Mardu (Red White Black),0
Naya (Red White Green),3
Sultai (Blue Black Green),1
Temur (Blue Red Green),1
Glint (White Blue Red Green),1
Dune (White Blue Black Green),3
Ruin (White Blue Black Red),0
Witch (Blue Black Red Green),0
Yore (White Red Black Green),0

Total de Inserções,54
