Variável,Valor
mono white,8
mono blue,6
mono black,13
mono red,9
mono green,5
azorios (White Blue),11
Boros (Red White),12
Dimir (Blue Black),12
Golgari (Black Green),22
Gruul (Red Green),13
Izzet (Blue Red),18
Orzhov (White Black),16
Rakdos (Black Red),11
Selesnya (White Green),11
Simic (Blue Green),21
Abzan (White Black Green),6
Bant (White Blue Green),8
Esper (White Blue Black),8
Grixis (Blue Black Red),12
Jeskai (Blue Red White),6
Jund (Black Red Green),6
Mardu (Red White Black),12
Naya (Red White Green),7
Sultai (Blue Black Green),9
Temur (Blue Red Green),7
Glint (White Blue Red Green),2
Dune (White Blue Black Green),5
Ruin (White Blue Black Red),1
Witch (Blue Black Red Green),1
Yore (White Red Black Green),0
Todas Cores,21
Colorless,1

Total de Inserções,300
