Variável,Valor
mono white,4
mono blue,2
mono black,7
mono red,5
mono green,17
azorios (White Blue),18
Boros (Red White),11
Dimir (Blue Black),20
Golgari (Black Green),19
Gruul (Red Green),6
Izzet (Blue Red),39
Orzhov (White Black),17
Rakdos (Black Red),11
Selesnya (White Green),11
Simic (Blue Green),8
Abzan (White Black Green),9
Bant (White Blue Green),4
Esper (White Blue Black),9
Grixis (Blue Black Red),4
Jeskai (Blue Red White),17
Jund (Black Red Green),3
Mardu (Red White Black),6
Naya (Red White Green),5
Sultai (Blue Black Green),8
Temur (Blue Red Green),14
Glint (White Blue Red Green),1
Dune (White Blue Black Green),6
Ruin (White Blue Black Red),2
Witch (Blue Black Red Green),4
Yore (White Red Black Green),1
Todas Cores,11
Colorless,1

Total de Inserções,300
